category,工廠地址,工廠位置,公司名稱,主要出口市場,主要產品,地址,年營收,成立年份,品牌,員工,員工人數,註冊地址,郵遞區號,業務類型,資本額,電話號碼(1),電話號碼(2)
機械零件,,台灣,湘溢國際有限公司,"澳大利亞,汶萊,中國大陸,日本","strainer,seacock,thru-hull,intale-strainer,water strainer",,"USD 500,001 -  1,000,000",1980,,,,高雄市大寮區光明路一段873-1號,831,"出口商,進口商,製造商,原始設備制造商,原始設計制造商,貿易商",,-7888717,-7809188
機械零件,,台灣,中華民國對外貿易發展協會,"亞洲,中東,歐洲,北美洲,中美洲,南美洲,大洋洲,其他","Trade Council, Trade Services",,"USD 500,001 -  1,000,000",2003,"Taiwantrade, iDealEZ",,,台北市１１００３基隆路一段３３３號５至７樓,110,"出口商,貿易組織"," 新台幣 1,000,001 -  5,000,000",-27254316,-27254316
汽機車,,,大壬實業股份有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲,其他","SOCKET, WRENCH..ETC Hand tools, Air tools, Auto specialty(maintain) tools",,,1983,,,,台中市南區忠明南路787號２２樓,40255,"出口商,進口商,製造商,原始設備制造商,原始設計制造商,代理商"," 新台幣 10,000,001 -  50,000,000",-22636416,--
農產及食品,,,日盛物產國際有限公司,"美國,印尼,日本,新加坡,瑞士,德國,西班牙,法國,*法國，大都市的,英國,荷蘭,菲律賓群島,義大利","Fresh fruits & Enoki, Frozen fruits & vegetable, Sauces, Ice cream, Rice, Pineapple
                              Cake, Cookies, Pastry",,,2007,,,,高雄市前金區民生二路71號9樓之3,801,"出口商,原始設備制造商,原始設計制造商,批發商,貿易組織",,-2828441,--
農產及食品,,台灣,正光製藥有限公司,"亞洲,歐洲,北美洲,中美洲,南美洲,大洋洲","Medicated Pain Relief  Plaster, Ointment, Cream & Spray",彰化縣北斗鎮興農路二段258號,,1970,正光製藥,,,,52141,"出口商,進口商,製造商,原始設備制造商,原始設計制造商,批發商,經銷商",,+886-4-8870235 EXT 302,+886-4-8888918 EXT 302
機械零件,,,聯亞國際科技股份有限公司,"中東,歐洲,北美洲,大洋洲,美國,澳大利亞,伊朗,德國,加拿大","LED lighting,",,,1997,,,,新北市三重區興德路98號13F,24158,"出口商,製造商,原始設備制造商,原始設計制造商,貿易組織,其他",,-85110217,--
礦產及金屬材料,,,旭全發企業有限公司,"亞洲,歐洲,北美洲,中美洲,南美洲,大洋洲","High strength aluminium alloy, bars, rods, tubes & lines for CNC, forging, turnery.
                              2011, 2014, 2024, 3003, 5052, 5082, 6060 6061, 6063, 6066, 6082, 7005, 7010, 7050
                              & 7075 aluminium extrusion profile. Tent Tube, OPC, Forks & Bat.",,,2014,Shiu Chuan Fa,,,高雄市湖內區中山路二段2巷53弄13號,829,"出口商,進口商,製造商,原始設備制造商,原始設計制造商,服務公司",,-6990799,--
機械,,,暐德精密工業有限公司,"亞洲,中國大陸,香港,日本,澳門,泰國","SLITTING MACHINE,SLITTER KNIFE,SPACER,SEPARATOR DISC",,,,,,,新北市五股區五工六路11-1號,248,製造商,,-22900006,--
電機及電子,,,梅爾根電子有限公司,"中國大陸
																			,
																		日本
																			,
																		南韓
																			,
																		新加坡
																			,
																		菲律賓群島","fast delivery of electronic components, RF switch box, power amplifier, low noise amplifiers, RF components, connectors, Calibration kit, 40 GHz RF coaxial wires, RF adapters",高雄市鼓山區明華路323號15樓之2,,2008,,,,,804,"出口商
																			,
																		進口商
																			,
																		製造商
																			,
																		原始設備制造商
																			,
																		原始設計制造商
																			,
																		代理商
																			,
																		批發商
																			,
																		經銷商",,-5540998,--
電信,,,瑞駿科技股份有限公司,"亞洲,歐洲,北美洲,美國,中國大陸,日本,南韓,新加坡,台灣,德國,西班牙,法國,*法國，大都市的,英國,加拿大,義大利",Skype gateway for personal or enterprise,,USD ,2009,Regintech,,,新竹市東區光復路2段301號15樓,30069,"製造商,原始設備制造商,原始設計制造商",,-5734477,-936070666
包裝、印刷及廣告,,,宏易昌有限公司,"中東,歐洲,美國,智利,秘魯,澳大利亞,紐西蘭,印度,日本,新加坡,瑞典,加拿大,巴西","Point of Purchase,Store Fixture,Shop Display,Plastic Injection,Wire Forming,Sheet
                              Metal Stamping,Vacuum Forming,Heat Bending",台北市北投區大業路160號6樓,,1965,創菩有限公司,,,,112,"製造商,原始設備制造商",,-28971504,--
機械,,,向隆企業股份有限公司,"孟加拉,中國大陸,香港,印尼,日本,馬來西亞,泰國,台灣,越南,阿拉伯聯合大公國,土耳其,俄羅斯聯邦,埃及,斯里蘭卡,菲律賓群島,沙烏地阿拉伯",Corrugated Cardboard Making Machine,,,1970,向隆,,,臺中市太平區永成路99巷10號,411,製造商," 新台幣 5,000,001 -  10,000,000",-22789850,--
汽機車,,,昶東精密鑄造開發股份有限公司,"美國,印尼,新加坡,瑞士,德國,法國,匈牙利","investment casting, forging, machining, die casting, valve, Hand tools, brake, auto,
                              hardware,environmentally,ozone,casting machine,",,,1989,,,,台北市文山區羅斯福路5段125號7樓之1,116,"出口商,製造商"," 新台幣 10,000,001 -  50,000,000",-89317485,-89317392
機械,,,三照有限公司,"模里西斯,奈及利亞,突尼西亞,南非,美國,哥斯大黎加,多明尼加,瓜地馬拉,宏都拉斯,墨西哥,薩爾瓦多,阿根廷,智利,哥倫比亞,秘魯,委內瑞拉,澳大利亞,紐西蘭,孟加拉,中國大陸,香港,印尼,印度,日本,南韓,緬甸,馬來西亞,巴基斯坦,新加坡,泰國,台灣,越南,阿拉伯聯合大公國,約旦,黎巴嫩,敘利亞,土耳其,葉門,德國,英國,匈牙利,摩洛哥,荷蘭,埃及,波多黎各,巴西,斯里蘭卡,菲律賓群島,沙烏地阿拉伯","Our Main Machine: 1. Vacuum forming machine. 2. Hydraulic cutting machine. 3. Blister
                              packing machine. 4. Blister edge folding machine. 5. Cylindrical edge rolling machine.
                              6. Skin packaging machine. 7. P.T.P. packing machine. 8. Shrink turnal machine.",,,1997,三朝,, 51 -  100,彰化市大埔路67-1號,50045,"出口商,製造商,貿易組織"," 新台幣 1,000,001 -  5,000,000",-7110285,-7109846
美容及個人用品,,,淨胜生物科技企業有限公司,"中國大陸
																			,
																		香港
																			,
																		日本
																			,
																		馬來西亞
																			,
																		泰國
																			,
																		台灣
																			,
																		越南
																			,
																		菲律賓群島","賦活胜(肌膚抗老)
嫩白胜(肌膚美白)
神經元膠原蛋白(增加肌膚彈性)
食控胜(抑制食慾)
冬蟲夏草(增加體力及男性功能)",仁德區仁義路95巷18號,,,NetBio,,,,717,出口商,,-2437953,
家具,,,啟裕國際股份有限公司,"南美洲,澳大利亞,日本,北韓,馬來西亞,新加坡,德國,英國","OEM Chairs Supplier, School Furniture, Office furniture, Concert hall chairs,",,"USD 10,000,001 -  50,000,000",1999,啟裕國際股份有限公司,, 101 -  200,桃園市龜山區興業街13號,33341,"製造商,原始設備制造商,原始設計制造商,貿易組織"," 新台幣 10,000,001 -  50,000,000",+886-3-3502000 EXT 812,--
電腦,,,新精科技股份有限公司,"亞洲,歐洲,中美洲","Smart Card Reader, Magnetic Strip Reader, Ibutton Key Reader, Contactless RFID Reader,
                              NFC Reader, Hybrid Card Reader, SIM Card Reader",,,2004,,,,臺北市內湖區行善路132號2樓之4,114,"出口商,製造商,原始設備制造商,原始設計制造商",,-87924618,--
機械,,台灣,廷安食品機械有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲","Bakery machine,Bread Slicer,Dough Moulder,Mini Moulder",,,1991,,,,台中市西屯區龍潭里龍洋巷43-5號,407,"出口商,製造商,原始設備制造商",,-22517930,--
服飾及配件,,台灣,賜寶實業有限公司,"美國,中國大陸,加拿大","Hair Accessories, Hair Clip, Ponytail Holder, Headband, Jewelry, Necklace, Bracelet,
                              Earring, Keychain, Charm, Cell Phone Dust Plug, Magnet, Memo Clip, Message Holder,
                              Pet Accessories, Garments",,,1990,,,,新北市三重區溪尾街14號8樓之３,24155,"出口商,製造商,原始設備制造商,原始設計制造商",,-22865336,------
電機及電子,,台灣,瑞澤電子有限公司,"中國大陸,香港,台灣","Rotary Switch, Encoder Switch, Rotary Variable Resistor, Slide Variable Resistor,
                              Pogo pin, Car Connector, Tact Switch, Slide Switch, Pushbutton Switch, Toggle Switch,
                              SD Card, MicroSD Card, USB2.0, USB3.0, Micro USB, HDMI, LAN, DC-Jack, Phone-Jack",桃園市中壢區中央東路88號19樓之2,,2011,,,,,32041,"出口商,製造商,原始設備制造商,原始設計制造商,代理商,貿易組織",,+886-3-4266335 EXT 110,4266335 EXT 110
醫療及保健,,,普生股份有限公司,"亞洲,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲,其他","In-Vitro Diagnostic Products: ELISA / RT-PCR HAV, HBV, HCV, HIV; 
                              Systems: ELISA System (Kiwi Series), RT-PCR (Genesis Series), POCT (AFP MicroSystem);
                              
                              Labware: ELISA Reader (Rito), ELISA Washer (Wato), Transportation Temperature Recorder
                              (GB TempCard), Electronic Pipettes, PCR Setup Automated System, Raw Materials (Antibody
                              & Antigen)",,,1984,,,,新竹縣寶山鄉科學園區創新一路6號,30076,"出口商,進口商,製造商,原始設備制造商,原始設計制造商,經銷商,服務公司,政府機關,貿易組織",,+886-3-5779221 EXT 204,
農產及食品,,,勝群食品有限公司,亞洲,"biscuit,snacks,",,"USD 1,000,001 -  5,000,000",2006,,,,台中市西區精美街61號,40352,"出口商,進口商,原始設備制造商",,-23108279,--
機械,,台灣,達詠興業有限公司,"亞洲,歐洲,北美洲,中美洲,南美洲,大洋洲","Sealer, sealing machine, vacuum sealer, vacuum machine, vacuum container, ultrasonic
                              welder, date coder, air valve mounting machine.",台中市大里區仁美路137巷20號,,2010,DailySealing,,,,41282,"出口商,製造商,原始設備制造商,原始設計制造商,貿易組織,其他",,-24917516,-24961577
汽機車,,中國大陸,柏翔電子工業股份有限公司,"亞洲,歐洲,北美洲,中美洲,大洋洲","GPS, Digital TV, Dashcam, LED Panel Light, LED Bulbs, LED Tubes, LED Grow Light, LED
                              Work Light, LED Flashlight, LED Light Painting",,,2007,,,,台南市中西區廣慈街32巷16-1號,70050,"出口商,製造商,原始設備制造商",,+886-6-7035080 EXT 2202,+886-6-7035080 EXT 2801
機械,,台灣,聯藝機械企業有限公司,"中國大陸,印尼,印度,日本,新加坡,泰國,台灣,伊朗,約旦,土耳其,瑞士,德國,法國,*法國，大都市的,匈牙利,荷蘭,葡萄牙,加拿大,巴西,菲律賓群島","label printing machine, offset printing machine, screen printing machine, hot stamping
                              machine, die cut machine, slitter, sheeter, rewinder,",,,1988,聯藝機械企業有限公司,,,新北市八里區仁愛路225號,249,"出口商,製造商"," 新台幣 5,000,001 -  10,000,000",+886-2-26101155 EXT 311,+886-2-26106191 EXT 309
醫療及保健,,,崴隆科技股份有限公司,"南非,美國,哥斯大黎加,瓜地馬拉,宏都拉斯,尼加拉瓜,智利,哥倫比亞,委內瑞拉,印度,日本,南韓,馬來西亞,新加坡,泰國,台灣,阿拉伯聯合大公國,以色列,伊朗,約旦,土耳其,德國,西班牙,希臘,匈牙利,愛爾蘭,馬爾他,埃及,加拿大,巴西,賽普勒斯,沙烏地阿拉伯,義大利","Vogue Stool, Mesh Chair, Back Support, Office Chair, Ergonomic Chair, Floor Lounge
                              Chair, Computer Desk, Folding Chair, Visitor Chair, Cashier Chair, Seat Pad, Backcare
                              Support, Get-up Seat Pad, waist cushion, back cushion.",,,1986,,, 51 -  100,台南市安南區海中街717之15號,70947,"出口商,進口商,製造商,原始設備制造商"," 新台幣 10,000,001 -  50,000,000",+886-6-2467580 EXT 32,+886-6-2467580 EXT 32
樂器,,,絃崴開發企業有限公司,"亞洲,中東,歐洲,北美洲,中美洲,南美洲,大洋洲","Acoustic guitar strings,Electric guitar strings, Classical guitar strings, guitar
                              strings,SPD,Musical Instruments",,,2007,SPD,,,高雄市岡山區為隨西路13巷9號,82053,"製造商,原始設備制造商,批發商",,-6218056,6218935
化學品,,,優業企業有限公司,"美國,多明尼加,巴拉圭,紐西蘭,馬來西亞,泰國,台灣,越南,加拿大",3 in 1 Natural Plant Activity Enzyme,高雄市鳥松區松埔北巷2-52號,,1993,三效合一天然植物活性酵素,,,,833,"出口商,製造商,其他",,-7326957,-7326958
家庭用品,,,盈昕股份有限公司,台灣,"cutting mat,cutting board,antibacterial mat,Whiteboard,Chopping Mat,Chopping Board.",,,2014,,,,彰化縣溪湖鎮彰水路4段鳳山巷266弄18號,,"製造商,原始設備制造商",,-8854821,--
機械,,台灣,堡豐工業股份有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲,其他",milling machine & tools,,,1986,堡豐工業股份有限公司,,,台中市后里區舊社路124-3號,421,"出口商,製造商,貿易組織",,-25589406,-25589405
機械,,,威鋒貿易有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲,其他","CNC Lathe, CNC Teach-in Lathe, Conventional Lathe & Milling Machine, Grinding machine,
                              Machining Center / Vertical, Band Sawing Machine, EDM",,,,LINT,,,台中市大雅區昌平路4段282南一巷16號,40677,"出口商,原始設備制造商",,-22657456,----
機械,,,蒲菲科技有限公司,"香港,印尼,印度,北韓,泰國,台灣,瑞典","Z Axis Setter ; EDGE FINDER;Clamping Force Gauge;BT Test Bar;
                              collet;CNC Tools Holders,Collet,Collet Chuck,",,,2002,,,,台中市大甲區大智街169號,437,"出口商,原始設備制造商,代理商,貿易組織",,-26864371,-26864371
服務業,,,長誠設計工程有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲,香港,印度,日本,北韓,馬來西亞,新加坡,泰國,台灣,阿拉伯聯合大公國,法國,英國,波蘭","Design Service, Exhibition service, Booth building, Booth set-up, Booth service, Exhibition
                              design",台北市松山區光復北路60巷37號3樓,,,,,,,10560,"出口商,進口商,製造商,其他",,-25789184,
家庭用品,,中國大陸,宇凰實業有限公司,"美國,紐西蘭,中國大陸,香港,日本,北韓,馬來西亞,泰國,台灣,比利時,德國,法國,加拿大,沙烏地阿拉伯","stuffed toy, plush toy, Plush Backpacks, Fluff Slippers,dog toy,dog bed,plush blanket,plush
                              toy with blanket,cushion,toy animal,stuffed animal,plush animal,pet toy,plush hanging
                              ornament,plush mouse pad,plush gloves,plush pen bag,plush key chain,pillow",嘉義縣竹崎鄉紫雲村崁腳25號,,1990,Y.H toys,,,,604,"出口商,製造商,批發商,經銷商,零售商",,+886-05-2542306 EXT 0,+886-05-2542306 EXT 0
美容及個人用品,,,蒂薇爾企業有限公司,"美國,澳大利亞,中國大陸,香港,澳門,馬來西亞,新加坡,加拿大",Skin Care Items,,,2012,,,,台北市興隆路二段153巷3弄6號1Ｆ　,116,"出口商,製造商,原始設備制造商",,-86630926,
美容及個人用品,,,芳田健康股份有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲,其他","UB-25 emulsifier, activity soaps,conditioned lotion, skin lotion,natural eye cream,BB
                              protection cream,cleaning cream",,,2004,水米 馬鈴薯手工皂-乾燥肌膚特用,,,台南市仁德區民安路一段82巷118號,717,"製造商,原始設備制造商,原始設計制造商",,-2908432,0
機械零件,,,嵩陽工業股份有限公司,"南非,美國,中國大陸,日本,南韓,新加坡,台灣,埃及,巴西,義大利","Ballscrew Support Unit,Nut Bracket,Motor Bracket",,,1989,,,,彰化縣鹿港鎮鹿工南三路46號,50544,"出口商,製造商",,+886-4-7812698 EXT 22,--
農產及食品,台灣,,黃金手作坊,"香港
																			,
																		日本
																			,
																		澳門
																			,
																		新加坡",Jam,台北市中山區合江５９-２號１樓,,2014,,,,,台北市,"進口商
																			,
																		製造商
																			,
																		原始設備制造商
																			,
																		原始設計制造商",,-25951454,----
電機及電子,,台灣,謄騏國際股份有限公司,"亞洲,中東,歐洲,北美洲,中美洲,南美洲,大洋洲","ceramic metallization,ceramic PCB,ceramic substrate,ceramic parts,ceramic balls,ceramic
                              tube,thin film ceramic substrate,,Nano Ceramic coating
                              super precision parts,
                              CNC parts,
                              machine parts,
                              ceramic parts,
                              ",新竹縣湖口鄉中山路三段137巷1號,"USD 1,000,001 -  5,000,000",2007,Tensky,,,,30371,"出口商,進口商,製造商,原始設備制造商,原始設計制造商,代理商,經銷商,貿易組織",,-5904135,-5904134
安全,,,御翔順股份有限公司,"突尼西亞,南非,美國,貝里斯,哥斯大黎加,墨西哥,阿根廷,哥倫比亞,印尼,印度,日本,柬埔寨,馬來西亞,泰國,台灣,越南,阿拉伯聯合大公國,以色列,伊朗,土耳其,西班牙,埃及,加拿大,安提瓜和巴爾布達,未列名美屬中美洲領域,巴西,菲律賓群島","Fire Boots, Fire Helmet, Fire Glove, Fire Motorcycle",台中市神岡區中山路821號,,2009,,, ,,429,"出口商,進口商,製造商,原始設備制造商,原始設計制造商",,-25609169,
機械,,,亞欣環保科技有限公司,"貝里斯,中國大陸,印尼,印度,馬來西亞,新加坡,台灣,哈薩克,羅馬尼亞","oil spill equiptments, oil skimmer, oil boom, boom reel, rock cleaner, simple green
                              cleaner, Oil cleanup vessels, etc.",,,2003,,,,臺北市中正區忠孝西路一段50號15樓之34,10041,"出口商,製造商,原始設備制造商",,-23708904,23709788
包裝、印刷及廣告,,台灣,樂廷科技有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,大洋洲","game, slot cabinet, metal cabinet, health food, casino, pachislot, advertisement machine,
                              panel",,,,,,,臺南市永康區中正北路317巷12弄71號,710,"出口商,製造商,原始設備制造商,原始設計制造商,貿易商",,-27099491,
機械,,台灣,亦輝機械工業股份有限公司,"亞洲,中東,歐洲,非洲,北美洲,中美洲,南美洲,馬達加斯加,模里西斯,奈及利亞,蘇丹,美國,牙買加,聖文森,阿根廷,智利,秘魯,中國大陸,香港,印尼,日本,馬來西亞,泰國,台灣,越南,巴林,阿曼,土耳其,其他中東國家,葉門,俄羅斯聯邦,象牙海岸,巴西,厄瓜多爾,菲律賓群島,沙烏地阿拉伯","PE PP extruder machine, film blown machine, granule making machine, embossing machine,
                              blowing film machine, stretch film machine",,,1986,"PE,PP押出機，吹袋機，壓花布紋機，夾鍊帶製造機，回收製粒機",,,台南市明興路619巷256之1號,702,"出口商,製造商",,-2960612,-2960613
農產及食品,,,金甫聖國際有限公司,亞洲,Agricultural & Foods,,,,,,,彰化縣社頭鄉仁愛雅巷147號,51143,"出口商,製造商",,-8721890,04-8722772
農產及食品,,台灣,新來源醬園股份有限公司,"香港,日本,澳門,新加坡,台灣",KOREAN KIMCHI、BAMBOO SHOOTS、MANCHURIAN SOUR CABBAGE、KOREAN LOTUS ROOTS、KOREAN RADISH、,,"USD 500,001 -  1,000,000",1980,,, 51 -  100,高雄市大寮區大有二街29號,831,"製造商,原始設備制造商,原始設計制造商",,-7872646,--
電機及電子,,,巨懋企業有限公司,"亞洲
																			,
																		歐洲",X-OVER NETWORK; INDUCTORS; RESISTORS; Acoustic Parts; Capacitors; Terminals; Binding Posts; Uni-Polar Capacitors,台北市基隆路一段149號9樓之3,"USD  10,000,001 -   50,000,000",1978,,,,,11070,"出口商
																			,
																		進口商
																			,
																		製造商",,-27653601,----
美容及個人用品,台灣,,恆源生國際有限公司,"亞洲
																			,
																		中東
																			,
																		歐洲
																			,
																		非洲
																			,
																		北美洲
																			,
																		中美洲
																			,
																		南美洲
																			,
																		大洋洲
																			,
																		其他","高效能、止癢控油、防止落髮精油髮品，美體緊實護膚按摩油，腿部消腫循環按摩油，醫美級不起泡洗臉滴露，保濕美白身體乳液，運動後鎮定紓壓樂活身體乳，臉頸美白除皺面膜乳霜，天然護脣膏，排毒消水腫泡澡浴鹽beauty care products, personal care product after sports, massage oils, facial mask, shampoo, conditioner, essential oils, body lotion, skin care product,lip balm, personal care products for senior market, green product","Rm#3, 9Fl., No.207, Dun Hua N., Rd., Taipei, Taiwan",USD ,2011,YUEHAPPINESS,,,,105,"出口商
																			,
																		進口商
																			,
																		製造商
																			,
																		原始設備制造商
																			,
																		原始設計制造商
																			,
																		貿易商",,+886-2-77076668 EXT 0,77076668 EXT 0
農產及食品,,台灣,達觀國際股份有限公司,,"Health and beauty care enzyme
                              Organic Spirulina Fucoidan Lutein",高雄市苓雅區四維三路６號１７樓之１,"USD 1,000,001 -  5,000,000",2003,萃綠檸檬果膠酵素,,,,80250,出口商,,-5357109,
美容及個人用品,台灣,,東欣化工廠,"亞洲
																			,
																		非洲
																			,
																		北美洲
																			,
																		奈及利亞
																			,
																		多哥共和國
																			,
																		中國大陸
																			,
																		香港
																			,
																		澳門
																			,
																		馬來西亞
																			,
																		新加坡
																			,
																		越南
																			,
																		加拿大","Product Description:  
 1 Hair Care products  2  facial clean products  3 body care products  
4 cosmetics and Beauty products  5  Skin Whitening Products   6 Personal Care 
products  7 Skin Care Products  8 Hand & Foot Care Products  9 OEM ODM Manufacturer  
10 Whitening and Moisturizing Series 11 OEM Skin Care Manufacturer 12Anti-aging products

Product Category : Lipstick, Makeup Remover, cleansers, Sapindus shampoo, laundry   
detergent, soap, shower gel, Facial Cleanser, Facial Mask, Facial cleansing, Anti-aging 
products, Sun Block, Hand Gel, Whitening and Moisturizing, Body Lotion, Toner, Serum,
collagen, whitening cream, lotion, placenta extract, essential oils,  toothpaste, lotion, 
Cream, modeling milk, hair conditioner, makeup remover milk, time capsule, Hand Cream,  
deodorants, skin care water, more than 3 hundred kinds of products, etc. 

TV stations and newspapers reported the company's products :
 Apple Daily , China Times , Sanli Television ( Gold 7 seconds and a half ) , TTV ( now
Day Taiwan ) , ETTV ( special report ), TVBS ( immediately Hunt ) , China Television News ( special report ) , Hong Kong Sun ,Hong Kong Daily News , tidal People magazine and other newspapers and magazines and television programs for the company's products have all been doing feature articles .","No.292-32, Minsheng Rd., Wufeng Shiang, Taichung City 413,",,1991,MONSA 夢娜麗莎,,,,41342,"出口商
																			,
																		製造商
																			,
																		原始設備制造商
																			,
																		原始設計制造商
																			,
																		批發商",,-23307300,-23337703
機械,,,馗鼎奈米科技股份有限公司,"歐洲,北美洲,中國大陸,日本,台灣","Atmospheric Pressure Plasma, Anti-Smudge (AS) coater, Plasma Cleaner, Plasma Asher
                              Plasma Desmear, In-Line Roll To Roll , PVD Coating System
                              Diamond Film Coating, Rainbow diamond Film Coating, Cutting Tools, Plasma Power Supply
                              , Contact Angle Meter",,,2001,,, 101 -  200,臺南市永康區中正路279巷21弄59號,710,"出口商,製造商,原始設計制造商",,-2323047,--
汽機車,台灣,,騰翔玻璃有限公司,"歐洲
																			,
																		美國
																			,
																		中國大陸
																			,
																		印度","1. NATURAL AMBER GLASS 
    BULB for Automobile/motor
2. CLEAR GLASS BULB for
    Automobile/motor.
3. CLEAR CLASS BULB for 
    GERENCAL LIGHTING
4. CUSTOMIZED GLASS BULB for
    LED
5. SPRAY GLASS TUBE",苗栗縣竹南鎮大厝里獅山102號,,1988,,,,,350,"出口商
																			,
																		進口商
																			,
																		製造商
																			,
																		原始設備制造商
																			,
																		原始設計制造商
																			,
																		貿易組織",,+886-37-550232 EXT 17,-549543
玩具、嬰幼兒及寵物用品,台灣,,大倫氣球工業股份有限公司,"奈及利亞
																			,
																		美國
																			,
																		澳大利亞
																			,
																		紐西蘭
																			,
																		中國大陸
																			,
																		日本
																			,
																		台灣
																			,
																		阿拉伯聯合大公國
																			,
																		比利時
																			,
																		德國
																			,
																		丹麥
																			,
																		西班牙
																			,
																		法國
																			,
																		英國
																			,
																		荷蘭
																			,
																		加拿大
																			,
																		芬蘭","Inflatable Toys,Promotion Items,X'mas Decoration, Balloon Inflatable Toys,Promotion Items,X?mas Decoration, Balloon",臺中市神岡區岸裡村大豐路２號,"USD  5,000,001 -   10,000,000",1963,RABBIT; PROLLOON,,,,42946,"出口商
																			,
																		製造商
																			,
																		原始設備制造商
																			,
																		原始設計制造商
																			,
																		貿易商","新台幣  10,000,001 -   50,000,000",+886-4-25234126 EXT 103,+886-4-25234126 EXT 102
農產及食品,,,崴達國際股份有限公司,"汶萊,中國大陸,香港,印尼,印度,日本,柬埔寨,南韓,緬甸,蒙古,澳門,馬來西亞,尼泊爾,新加坡,泰國,台灣,越南,琉球,菲律賓群島","health products, food",,USD ,1998,"WEDAR,CHiC,Lafood,Lacook",,,高雄市前鎮區復興四路12號6樓之20,806,"出口商,進口商,原始設計制造商,零售商",,-5539987,--
包裝、印刷及廣告,,台灣,易美巨轉印科技有限公司,"南非,美國,澳大利亞,孟加拉,香港,印尼,日本,南韓,馬來西亞,巴基斯坦,新加坡,泰國,越南,阿拉伯聯合大公國,英國,荷蘭,加拿大,巴西,斯里蘭卡,菲律賓群島,沙烏地阿拉伯","transfer printing,heat transfer label,flock transfer sheet,iron on transfers,water
                              slide transfer decals,transfer stickers,transfer paper,transfer  film,foil transfers.team
                              badges,tag-less label,garment accessories,rub-on decals, dry transfer decal,",,,2000,,,,新北市泰山區明志路一段19巷5弄26號1樓,243,"出口商,進口商,製造商,原始設備制造商",,-29006317,-29090301
美容及個人用品,,台灣,多姿彩有限公司,"亞洲,其他亞洲國家,南非,美國,其他北美洲國家,貝里斯,哥斯大黎加,墨西哥,阿根廷,哥倫比亞,秘魯,巴拉圭,烏拉圭,委內瑞拉,澳大利亞,中國大陸,香港,印尼,印度,日本,北韓,澳門,馬來西亞,新加坡,泰國,越南,阿拉伯聯合大公國,以色列,卡達,土耳其,奧地利,波士尼亞-赫塞哥維那,比利時,瑞士,德國,丹麥,西班牙,法國,*法國，大都市的,英國,希臘,匈牙利,愛爾蘭,盧森堡,摩洛哥,荷蘭,挪威,波蘭,葡萄牙,羅馬尼亞,俄羅斯聯邦,瑞典,梵蒂岡,埃及,加拿大,波多黎各,巴西,厄瓜多爾,菲律賓群島,賽普勒斯,沙烏地阿拉伯,捷克,芬蘭,義大利","Pure Organic Skin Care Products & Handmade Soaps, water filters, supplements, homeopathy
                              remedies,",,,2013,Dr. J Lo,,,臺北市士林區忠誠路二段42號,111,"出口商,進口商,製造商,原始設備制造商,原始設計制造商,經銷商,零售商",,-28349814,28350698
農產及食品,,,丸文調理食品有限公司,"美國,中國大陸,日本,台灣","marlin, stir fried ,shredded, sailfish, snack, baby food , fresh ingredient ,nutrient,
                              dried",,,1950,旗聚一堂,,,台中市中區光復路30-1號,400,"出口商,製造商,原始設備制造商,批發商,服務公司,零售商",,-36085907,-22251634
